OSHPD_ID,FAC_NAME,FAC_OPER_CURRYR,LIC_STATUS,TRAUMA_CTR,TEACH_HOSP,ASSEMBLY_DIST,SENATE_DIST,CONGRESS_DIST,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,TYPE_LIC,TYPE_CNTRL,TYPE_SVC_PRINCIPAL,EMSA_TRAUMA_PEDS_CTR_DESIG,ED_LIC_LEVL_BEGIN,ED_LIC_LEVL_END,ED_ANESTH_AVAIL24HRS,ED_ANESTH_AVAIL_ON_CALL,ED_LAB_SVCS_AVAIL24HRS,ED_LAB_SVCS_AVAIL_ON_CALL,ED_OP_RM_AVAIL24HRS,ED_OP_RM_AVAIL_ON_CALL,ED_PHARM_AVAIL24HRS,ED_PHARM_AVAIL_ON_CALL,ED_PHYSN_AVAIL24HRS,ED_PHYSN_AVAIL_ON_CALL,ED_PSYCH_ER_AVAIL24HRS,ED_PSYCH_ER_AVAIL_ON_CALL,ED_RADIOL_SVCS_AVAIL24HRS,ED_RADIOL_SVCS_AVAIL_ON_CALL,EMS_VISITS_NON_URGENT_NOT_adm,EMS_VISITS_NON_URGENT_adm,EMS_VISITS_URGENT_NOT_adm,EMS_VISITS_URGENT_adm,EMS_VISITS_MODERATE_NOT_adm,EMS_VISITS_MODERATE_adm,EMS_VISITS_SEVERE_NOT_adm,EMS_VISITS_SEVERE_adm,EMS_VISITS_CRITICAL_NOT_adm,EMS_VISITS_CRITICAL_adm,EMS_NO_ADM_VIS_TOTL,EMS_ADM_VIS_TOTL,ED_TRAFFIC_TOTL,EMS_STATION,EMS_NON_EMERG_VIS,EMS_REGISTERS_NO_TREAT,EMS_AMB_DIVERS,EMS_AMB_DIVERS_JAN_HOURS,EMS_AMB_DIVERS_FEB_HOURS,EMS_AMB_DIVERS_MAR_HOURS,EMS_AMB_DIVERS_APR_HOURS,EMS_AMB_DIVERS_MAY_HOURS,EMS_AMB_DIVERS_JUN_HOURS,EMS_AMB_DIVERS_JUL_HOURS,EMS_AMB_DIVERS_AUG_HOURS,EMS_AMB_DIVERS_SEP_HOURS,EMS_AMB_DIVERS_OCT_HOURS,EMS_AMB_DIVERS_NOV_HOURS,EMS_AMB_DIVERS_DEC_HOURS,EMS_AMB_DIVERS_TOTL_HOURS,year,Responder_status,EMS_Minor_TOTL_VIS,EMS_lowmoderate_TOTL_VIS,EMS_Moderate_TOTL_VIS,EMS_SEV_WO_Threat_totl_vis,EMS_SEV_W_THREAT_TOTL_VIS,lvl_not_specified,emsa_county,EMSA_TRAUMA_CTR_DESIG,emsa1,emsa2,emsa3,emsa4,emsa0,EMSA_TRAUMA_PEDS_CTR_count,dhs_ed_lic_levl,all_ed,ed_none,basic,comprehensive,standby
106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,Yes,Open,Level I - Pediatric,YES,15,9,13,2c,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),Pediatric,Level I - Pedi,Basic,Basic,YES,,YES,,YES,,YES,,YES,,,YES,YES,,141,4,13333,134,17364,753,6633,1441,2802,4018,40273,6350,46623,37,0,91,,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Responder,145,13467,18117,8074,6820,0,Alameda,N/A,,,,,,1,Basic,Yes,,1,,
106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,Yes,Open,Level I - Pediatric,NO,15,9,13,2c,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),Pediatric,Level I - Pedi,Basic,Basic,YES,,YES,,YES,,YES,,YES,,,YES,YES,,197,6,14360,143,16722,781,7060,1600,2697,4131,41036,6661,47697,37,0,675,,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Responder,203,14503,17503,8660,6828,0,Alameda,N/A,,,,,,1,Basic,Yes,,1,,
106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,Yes,Open,Level I - Pediatric,NO,15,9,13,2c,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),Pediatric,Level I - Pedi,Basic,Basic,YES,,YES,,YES,,YES,,YES,,,YES,YES,,189,6,13519,125,16600,627,7702,1396,3615,4299,41625,6453,48078,37,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,Responder,195,13644,17227,9098,7914,0,Alameda,N/A,,,,,,1,Basic,Yes,,1,,
106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Yes,Open,Level I - Pediatric,NO,15,9,13,2c,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),Pediatric,Level I - Pedi,Basic,Basic,YES,,YES,,YES,,YES,,YES,,,YES,YES,,133,7,13904,63,15254,395,6159,1204,2864,5854,38314,7523,45837,37,0,255,,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,Responder,140,13967,15649,7363,8718,0,Alameda,N/A,,,,,,1,Basic,Yes,,1,,
106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Yes,Open,Level I - Pediatric,NO,15,9,13,2c,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),Pediatric,Level I - Pedi,Basic,Basic,YES,,YES,,YES,,YES,,YES,,,YES,YES,,1965,363,9542,125,22748,1117,3136,3364,1259,1929,38650,6898,45548,37,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,Responder,2328,9667,23865,6500,3188,0,Alameda,N/A,,,,,,1,Basic,Yes,,1,,
106010811,FAIRMONT HOSPITAL,Yes,Open,,NO,20,10,15,2f,,05 - East Bay,Alameda,General Acute Care,City and/or County,Long-Term Care (SN/IC),0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Responder,0,0,0,0,0,0,,N/A,,,,,1,,None,No,1,,,
106010811,FAIRMONT HOSPITAL,Yes,Open,,NO,20,10,15,2f,,05 - East Bay,Alameda,General Acute Care,City and/or County,Long-Term Care (SN/IC),0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Responder,0,0,0,0,0,0,,N/A,,,,,1,,None,No,1,,,
106010811,FAIRMONT HOSPITAL,Yes,Open,,NO,20,10,15,2f,,05 - East Bay,Alameda,General Acute Care,City and/or County,Long-Term Care (SN/IC),0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,Responder,0,0,0,0,0,0,,N/A,,,,,1,,None,No,1,,,
106010811,FAIRMONT HOSPITAL,Yes,Open,,NO,20,10,15,2f,,05 - East Bay,Alameda,General Acute Care,City and/or County,Long-Term Care (SN/IC),0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,Responder,0,0,0,0,0,0,,N/A,,,,,1,,None,No,1,,,
106010811,ALAMEDA COUNTY MEDICAL CENTER - FAIRMONT CAMPUS,Yes,Open,,NO,20,10,15,2f,,05 - East Bay,Alameda,General Acute Care,City and/or County,Long-Term Care (SN/IC),0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,Responder,0,0,0,0,0,0,,N/A,,,,,1,,None,No,1,,,
106010844,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,Yes,Open,,NO,15,9,13,2a,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),Psychiatric,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Responder,0,0,0,0,0,0,,N/A,,,,,1,,None,No,1,,,
106010844,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,Yes,Open,,NO,15,9,13,2a,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),Psychiatric,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Responder,0,0,0,0,0,0,,N/A,,,,,1,,None,No,1,,,
106010844,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,Yes,Open,,NO,15,9,13,2a,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),Psychiatric,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,Responder,0,0,0,0,0,0,,N/A,,,,,1,,None,No,1,,,
106010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,Yes,Open,,NO,15,9,13,2a,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),Psychiatric,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,Responder,0,0,0,0,0,0,,N/A,,,,,1,,None,No,1,,,
106010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,Yes,Open,,NO,15,9,13,2a,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),Psychiatric,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,Responder,0,0,0,0,0,0,,N/A,,,,,1,,None,No,1,,,
106010846,HIGHLAND HOSPITAL,Yes,Open,Level I,YES,18,9,13,2c,,05 - East Bay,Alameda,General Acute Care,City and/or County,General Medical / Surgical,0,Basic,Basic,YES,,YES,,YES,,YES,,YES,,YES,,YES,,1191,4,7517,5,25630,143,20081,698,5044,5684,59463,6534,65997,57,25956,2910,Yes,23,14,18,20,6,4,12,4,23,11,16,10,161,2017,Responder,1195,7522,25773,20779,10728,0,Alameda,Level I,1,,,,,,Basic,Yes,,1,,
106010846,HIGHLAND HOSPITAL,Yes,Open,Level II,YES,18,9,13,2c,,05 - East Bay,Alameda,General Acute Care,City and/or County,General Medical / Surgical,0,Basic,Basic,YES,,YES,,YES,,YES,,YES,,YES,,YES,,532,0,5994,7,31245,334,19985,1079,3928,5898,61684,7318,69002,57,29460,3271,Yes,6,14,10,10,11,8,18,37,28,20,17,22,201,2016,Responder,532,6001,31579,21064,9826,0,Alameda,Level II,,1,,,,,Basic,Yes,,1,,
106010846,HIGHLAND HOSPITAL,Yes,Open,Level II,YES,18,9,13,2c,,05 - East Bay,Alameda,General Acute Care,City and/or County,General Medical / Surgical,0,Basic,Basic,YES,,YES,,YES,,YES,,YES,,YES,,YES,,11541,3,17234,21,19422,74,9592,320,7095,4551,64884,4969,69853,57,56385,2441,Yes,0,0,5,0,3,2,2,18,8,8,6,4,56,2015,Responder,11544,17255,19496,9912,11646,0,Alameda,Level II,,1,,,,,Basic,Yes,,1,,
106010846,HIGHLAND HOSPITAL,Yes,Open,Level II,YES,18,9,13,2c,,05 - East Bay,Alameda,General Acute Care,City and/or County,General Medical / Surgical,0,Basic,Basic,YES,,YES,,YES,,YES,,YES,,YES,,YES,,36079,39,10823,48,11910,59,17218,354,5297,8989,81327,9489,90816,52,0,2870,Yes,20,25,30,21,19,31,38,32,26,32,23,18,315,2014,Responder,36118,10871,11969,17572,14286,0,Alameda,Level II,,1,,,,,Basic,Yes,,1,,
106010846,ALAMEDA COUNTY MEDICAL CENTER,Yes,Open,Level II,YES,18,9,13,2c,,05 - East Bay,Alameda,General Acute Care,City and/or County,General Medical / Surgical,0,Basic,Basic,YES,,YES,,YES,,YES,,YES,,YES,,YES,,36581,48,10973,51,12075,63,17457,357,5371,9102,82457,9621,92078,52,0,5879,Yes,22,30,32,23,27,34,32,39,30,40,45,26,380,2013,Responder,36629,11024,12138,17814,14473,0,Alameda,Level II,,1,,,,,Basic,Yes,,1,,
106010856,KAISER FND HOSP - OAKLAND CAMPUS,No,Closed,,YES,15,9,13,2b,,05 - East Bay,Alameda,General Acute Care,,,0,Basic,Basic,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,2014,Responder,0,0,0,0,0,0,,N/A,,,,,1,,Basic,Yes,,1,,
106010856,KAISER FND HOSP - OAKLAND CAMPUS,Yes,Closed,,YES,15,9,13,2b,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,0,Basic,Basic,YES,,YES,,YES,,YES,,YES,,,YES,YES,,15213,4,8818,61,8876,385,12124,2789,2900,3299,47931,6538,54469,32,0,224,Yes,15,10,10,8,0,10,6,9,4,0,2,2,76,2013,Responder,15217,8879,9261,14913,6199,0,,N/A,,,,,1,,Basic,Yes,,1,,
106010858,KAISER FND HOSP - HAYWARD/FREMONT,Yes,Closed,,NO,20,10,15,2g,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,0,Basic,Basic,YES,,YES,,YES,,YES,,YES,,,YES,YES,,5079,1,3722,1,4495,25,5377,384,2053,1335,20726,1746,22472,26,0,83,,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,Responder,5080,3723,4520,5761,3388,0,,N/A,,,,,1,,Basic,Yes,,1,,
106010858,KAISER FND HOSP - HAYWARD/FREMONT,Yes,Closed,,NO,20,10,15,2g,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,0,Basic,Basic,,YES,YES,,,YES,YES,,YES,,YES,,YES,,12522,3,7973,8,12777,159,11338,2055,2119,2352,46729,4577,51306,26,0,163,,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,Responder,12525,7981,12936,13393,4471,0,,N/A,,,,,1,,Basic,Yes,,1,,
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Yes,Open,,NO,18,9,13,2f,,05 - East Bay,Alameda,General Acute Care,Investor - Corporation,General Medical / Surgical,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Responder,0,0,0,0,0,0,,N/A,,,,,1,,None,No,1,,,
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Yes,Open,,NO,18,9,13,2f,,05 - East Bay,Alameda,General Acute Care,Investor - Corporation,General Medical / Surgical,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Responder,0,0,0,0,0,0,,N/A,,,,,1,,None,No,1,,,
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Yes,Open,,NO,18,9,13,2f,,05 - East Bay,Alameda,General Acute Care,Investor - Corporation,General Medical / Surgical,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,Responder,0,0,0,0,0,0,,N/A,,,,,1,,None,No,1,,,
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Yes,Open,,NO,18,9,13,2f,,05 - East Bay,Alameda,General Acute Care,Investor - Corporation,General Medical / Surgical,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,Responder,0,0,0,0,0,0,,N/A,,,,,1,,None,No,1,,,
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Yes,Open,,NO,18,9,13,2f,,05 - East Bay,Alameda,General Acute Care,Investor - Corporation,General Medical / Surgical,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,Responder,0,0,0,0,0,0,,N/A,,,,,1,,None,No,1,,,
106010937,ALTA BATES SUMMIT MEDICAL CENTER,Yes,Open,,NO,18,9,13,2m,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,0,Basic,Basic,YES,,YES,,YES,,YES,,YES,,,YES,YES,,463,2,2700,6,11842,74,14564,1193,7964,8309,37533,9584,47117,25,0,473,Yes,0,0,0,4,0,2,2,0,0,16,0,5,29,2017,Responder,465,2706,11916,15757,16273,0,,N/A,,,,,1,,Basic,Yes,,1,,
106010937,ALTA BATES SUMMIT MEDICAL CENTER,Yes,Open,,NO,18,9,13,2m,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,0,Basic,Basic,,YES,YES,,,YES,,YES,YES,,,,YES,,442,2,3283,9,12331,82,14440,1325,7457,8028,37953,9446,47399,32,0,1002,Yes,8,2,2,9,9,3,3,0,5,4,5,10,60,2016,Responder,444,3292,12413,15765,15485,0,,N/A,,,,,1,,Basic,Yes,,1,,
106010937,ALTA BATES SUMMIT MEDICAL CENTER,Yes,Open,,NO,18,9,13,2m,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,0,Basic,Basic,YES,,YES,,YES,,YES,,YES,,,YES,YES,,567,0,4122,0,13359,0,13178,0,6450,0,37676,9043,46719,31,0,1265,Yes,0,0,12,8,0,2,2,4,8,2,8,2,48,2015,Responder,567,4122,13359,13178,6450,9043,,N/A,,,,,1,,Basic,Yes,,1,,
106010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Yes,Open,,NO,18,9,13,2m,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,0,Basic,Basic,YES,,YES,,YES,,YES,,YES,,,YES,YES,,131,29,3168,697,19494,4289,11166,2457,2750,605,36709,8077,44786,31,0,1148,Yes,17,18,5,1,5,10,6,0,0,0,0,0,62,2014,Responder,160,3865,23783,13623,3355,0,,N/A,,,,,1,,Basic,Yes,,1,,
106010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Yes,Open,,NO,18,9,13,2m,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,0,Basic,Basic,YES,,YES,,YES,,YES,,YES,,,YES,YES,,451,1,2666,6,12390,42,12108,910,5923,7079,33538,8038,41576,31,0,1299,Yes,131,7,4,4,11,2,0,4,5,9,3,9,189,2013,Responder,452,2672,12432,13018,13002,0,,N/A,,,,,1,,Basic,Yes,,1,,
106010967,ST. ROSE HOSPITAL,Yes,Open,,NO,20,10,15,2g,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,0,Basic,Basic,,YES,YES,,,YES,,YES,YES,,,YES,YES,,393,0,5200,1,14989,2,6758,24,3594,3663,30934,3690,34624,17,0,900,Yes,4,3,0,0,0,1,0,0,0,0,2,0,10,2017,Responder,393,5201,14991,6782,7257,0,,N/A,,,,,1,,Basic,Yes,,1,,
106010967,ST. ROSE HOSPITAL,Yes,Open,,NO,20,10,15,2g,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,0,Basic,Basic,,YES,YES,,,YES,,YES,YES,,,YES,YES,,471,0,6555,4,14698,15,6752,58,3787,3931,32263,4008,36271,17,0,908,Yes,2,0,2,2,1,2,3,0,1,2,0,0,15,2016,Responder,471,6559,14713,6810,7718,0,,N/A,,,,,1,,Basic,Yes,,1,,
